BuidlingID|BuidldingDisplayId|BuidlingName|BuildingGuid
1|1|A|839b1131-d2b5-468c-9470-c5d96f2afcfc
2|2|Alpha|1CBD2853-DFD4-47E6-8C3B-0104D9CAC581
3|3|B|9f990ff9-c529-4a54-83c8-7b39e26458c7
4|4|Beta|C4EDB927-0CA3-464E-AFDC-929D5D8E2AD5
5|5|C|0fe5f1e1-cccb-40f8-88a3-47c6ed8a4d8f
6|6|D|a33ccdcf-07c9-4972-8b50-1c06e987851c
7|7|Dragon One|BE7BD93A-78C7-4511-8835-AF2B26B957B2
8|8|E|4f71da23-b0c8-4311-9cee-8634d0cf0a0d
9|9|F|380250bd-7582-405c-92c1-992dae081abf
10|10|G|d5e29458-8fc5-4313-bfc5-2904503a4d70
11|11|HH|89a778e7-6de5-44e5-8aea-fd60486e32d2
